id,bureauvote
DBV01004029, EPP MAHAMASINA EST Salle 5
DBV01004031, EPP SOAVIMASOANDRO S1
DBV01004034, ECOLE PRIVEE LOHARANOSOA SALLE 3
DBV01004037, EPP SOAVIMASOANDRO S6
DBV01004038, LYCEE PRIVEE LA RACINE SALLE 4
DBV01004040, LYCEE TECHNIQUE ALAROBIA S8
DBV01004041, EPP SOAVIMASOANDRO S9
DBV01004042, LYCEE PRIVEE LA RACINE SALLE 2
DBV01004043, EPP SOAVIMASOANDRO S9
DBV01004048, EPP SOAVIMASOANDRO S8
DBV01004050, LYCEE PRIVEE LA RACINE SALLE 3
DBV01004054, LYCEE TECHNIQUE ALAROBIA S8
DBV01004055, LYCEE PRIVEE LA RACINE SALLE 2
DBV01004056, EPP SOAVIMASOANDRO S9
DBV01004057, ECOLE PRIVEE LOHARANOSOA SALLE 2
DBV01004059, ECOLE PRIVEE LOHARANOSOA SALLE 3
DBV01004060, LYCEE TECHNIQUE ALAROBIA S6
DBV01004062, EPP AMPEFILOHA AMBODIRANO Salle 2
DBV01004063, ECOLE PRIVEE FAZA SALLE 5
DBV01004064, EPP AMPAMATANANA SALLE 4B
DBV01004065, EPP SOAVIMASOANDRO S14
DBV01004066, EPP AMPEFILOHA AMBODIRANO Salle 6
DBV01004068, EPP AMPEFILOHA AMBODIRANO Salle 1
DBV01004070, EPP SOAVIMASOANDRO S20
DBV01004071, LYCEE TECHNIQUE ALAROBIA S6
DBV01004073, LYCEE PRIVEE LA RACINE SALLE 1
DBV01004076, CEG AMBOHIMIANDRA SALLE 7
DBV01004078, LYCEE PRIVEE LA RACINE SALLE 1
DBV01004079, EPP SOAVIMASOANDRO S8
DBV01004080, LYCEE TECHNIQUE ALAROBIA S10
DBV01004084, EPP AMPAMATANANA SALLE 5A
DBV01004086, EPP AMPAMATANANA SALLE 2A
DBV01004088, ASAMA S16
DBV01004092, ASAMA S9
DBV01004095, ASAMA S9
DBV01004096, LYCEE TECHNIQUE ALAROBIA S9
DBV01004098, EPP AMPEFILOHA AMBODIRANO Salle 7
DBV01004099, EPP ANDRAISORO S1
DBV01004101, EPP 67 HA SUD Salle 05 B
DBV01004102, EPP 67 HA SUD Salle 06
DBV01004104, EPP AMPEFILOHA AMBODIRANO Salle 8
DBV01004105, EPP ANDRAISORO S12
DBV01004107, EPP 67 HA SUD Salle 06
DBV01004108, ASAMA S8
DBV01004109, LYCEE TECHNIQUE ALAROBIA S5
DBV01004110, EPP 67 HA SUD Salle 03 B
DBV01004115, EPP 67 HA SUD Salle 05 B
DBV01004116, LYCEE TECHNIQUE ALAROBIA S8
DBV01004118, EPP ANTAIROKA SALLE 1
DBV01004119, EP LES ROSSIGNOLS SALLE5
DBV01004120, EPP 67 HA SUD Salle 06
DBV01004122, EPP AMPAMATANANA SALLE 4B
DBV01004123, EPP AMBODIMITA SALLE4
DBV01004124, LYCEE ANOSISOA SALLE1
DBV01004131, EPP 67 HA SUD Salle 07
DBV01004132, EPP 67 HA SUD Salle 03 B
DBV01004135, EPP AMPEFILOHA AMBODIRANO Salle 3
DBV01004243, LYCEE PRIVE LE SUCCES Salle 15 B
DBV01004246, ECOLE PRIMAIRE MAHATAZANA SALLE II
DBV01004253, EPP AMBATOMARO S15
DBV01004262, EPP AMBATOMARO S14
DBV01004269, TRANOM-POKONTANY AMBOHIMIRARY S1
DBV01004276, EPP AMBATOMARO S12
DBV01004279, TRANOM-POKONTANY AMBOHIMIRARY S1
DBV01004281, EPP AMBATOMARO S10
DBV01004282, EPP AMBATOMARO S11
DBV01004288, EPP AMBATOMARO S8
DBV01004292, EPP ANDRAVOAHANGY I SALLE 07 / B
DBV01004301, EPP ANATIHAZO Salle 03
DBV01004320, TRANOMPOKONOLONA Salle 1
DBV01004390, BUREAU FOKONTANY SALLE1
DBV01004400, BUREAU FOKONTANY SALLE4
DBV01004420, LYCEE ANOSISOA SALLE1
DBV01004437, EPP AMBODIMITA SALLE3
DBV01004446, EPP BETAFO SALLE2
DBV01004478, EPP ANKADIFOTSY I SALLE 08
DBV01004517, CEG ANTANIMENA III SALLE 15
DBV01005250, EPP AMBODIN'ISOTRY Salle 07 B
DBV01005255, EPP ANDAVAMAMBA Salle 14
DBV01005256, EPP ANDAVAMAMBA Salle 13 B
